currentTick;currentActivePowerConsumption;currentActivePowerPv;currentActivePowerPvAutoConsumption;currentActivePowerPvFeedIn;currentActivePowerChp;currentActivePowerChpAutoConsumption;currentActivePowerChpFeedIn;currentActivePowerBatteryCharging;currentActivePowerBatteryDischarging;currentActivePowerBatteryAutoConsumption;currentActivePowerBatteryFeedIn;currentActivePowerExternal;currentReactivePowerExternal;currentGasPowerExternal;epsCosts;plsCosts;gasCosts;feedInCostsPV;feedInCostsCHP;autoConsumptionCosts;currentPvFeedInPrice
1920;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
1980;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
2040;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
2100;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
2160;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
2220;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
2280;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
2340;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
2400;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
2460;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
2520;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
2580;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
2640;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
2700;205.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.0;29.0;0.0;0.00148625;0.0;0.0;0.0;0.0;0.0;10.0
2760;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
2820;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
2880;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
2940;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
3000;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
3060;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
3120;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
3180;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
3240;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
3300;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
3360;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
3420;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
3480;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
3540;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
3600;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;26.0;0.0;0.0013485;0.0;0.0;0.0;0.0;0.0;10.0
